k1,k2,lambda,val_mAP
8,1,0.33421052631578946,0.9890141290952025
5,1,0.23421052631578948,0.9890141290952025
6,1,0.33421052631578946,0.9890141290952025
5,1,0.33421052631578946,0.9890141290952025
8,1,0.23421052631578948,0.9890141290952025
6,1,0.23421052631578948,0.9890141290952025
6,1,0.28421052631578947,0.9890141290232414
5,1,0.28421052631578947,0.9890141290232414
8,1,0.28421052631578947,0.9890141290232414
16,1,0.5210526315789473,0.9890048348476701
23,1,0.5210526315789473,0.9890048348476701
7,10,0.5736842105263158,0.9889943797626022
12,13,0.5736842105263158,0.9889818965137963
16,13,0.5473684210526315,0.9889544638409131
31,13,0.5473684210526315,0.9889448537334123
5,8,0.6,0.9889444835784351
25,6,0.5736842105263158,0.9889236403120983
26,6,0.5473684210526315,0.9888988282891151
22,12,0.46842105263157896,0.9888688770122216
6,5,0.6,0.9888557092193533
29,8,0.5210526315789473,0.9888364891290112
31,6,0.46842105263157896,0.9888338263680613
26,13,0.4157894736842105,0.9888271905031271
26,8,0.5210526315789473,0.988815635053976
27,7,0.5210526315789473,0.9888137405260323
15,10,0.49473684210526314,0.9887961228890353
15,11,0.49473684210526314,0.9887878132661371
15,3,0.5736842105263158,0.9887844523250185
5,2,0.49473684210526314,0.988732786307312
14,9,0.46842105263157896,0.9886660179964623
5,3,0.49473684210526314,0.9886498733242639
17,10,0.4157894736842105,0.9886438189396721
29,14,0.31052631578947365,0.9886393594471945
31,8,0.3631578947368421,0.9886180792628833
28,10,0.31052631578947365,0.9885200060036401
7,8,0.3894736842105263,0.9884696288424275
23,2,0.20526315789473684,0.988431226960382
5,3,0.33421052631578946,0.9883980043396687
15,2,0.23157894736842105,0.9883927125648843
31,13,0.23157894736842105,0.9883701554328264
8,3,0.33421052631578946,0.9883646265212618
5,3,0.28421052631578947,0.9883380159108693
20,2,0.15263157894736842,0.9883307978664115
6,3,0.33421052631578946,0.9883125366881289
26,2,0.17894736842105263,0.9882686875943274
5,3,0.23421052631578948,0.9882600454451006
33,14,0.17894736842105263,0.9882558355137622
34,13,0.17894736842105263,0.988247042286905
8,3,0.28421052631578947,0.9882349029683521
14,7,0.31052631578947365,0.9881901301383261
8,3,0.23421052631578948,0.9881779036146886
6,3,0.28421052631578947,0.9881699167912236
13,10,0.28421052631578947,0.9881572354143251
6,3,0.23421052631578948,0.9881029325753052
28,6,0.20526315789473684,0.9880903693221488
17,7,0.2578947368421053,0.9880859307609949
22,9,0.23157894736842105,0.9880479999198218
22,13,0.12631578947368421,0.9880395594769612
31,3,0.1,0.9880346322205874
22,6,0.20526315789473684,0.9879908139890808
8,12,0.23157894736842105,0.9879563978314801
28,7,0.12631578947368421,0.9879320646032858
24,10,0.1,0.9878216434649286
7,5,0.23157894736842105,0.9878190454028846
16,12,0.1,0.9875244870968416
14,8,0.17894736842105263,0.9874708738555102
19,7,0.1,0.9874316947069848
