k1,k2,lambda,val_mAP
28,1,0.49473684210526314,0.968125051676367
28,1,0.46842105263157896,0.9681211481493146
28,1,0.3894736842105263,0.9681206690071051
28,1,0.3631578947368421,0.9681190000496249
28,1,0.44210526315789467,0.9681125396067853
28,1,0.5210526315789473,0.9681091316136029
28,1,0.4157894736842105,0.9681090268475613
28,1,0.28421052631578947,0.9680981150841677
28,1,0.5736842105263158,0.9680959991173353
28,1,0.3368421052631579,0.968095616868134
28,1,0.31052631578947365,0.9680932593890497
19,4,0.6,0.9680918910328361
19,4,0.5736842105263158,0.968091423926235
28,1,0.5473684210526315,0.9680901125394511
27,1,0.46842105263157896,0.9680883071707336
28,1,0.6,0.9680868252041663
27,1,0.49473684210526314,0.9680856410346279
19,4,0.5473684210526315,0.9680818090422247
27,1,0.5210526315789473,0.9680806794833222
27,1,0.44210526315789467,0.9680798321774138
27,1,0.5736842105263158,0.9680756732010853
27,1,0.4157894736842105,0.9680750735523451
27,1,0.3631578947368421,0.9680744459133507
27,1,0.3894736842105263,0.9680742861854625
18,4,0.6,0.9680740915759828
27,1,0.6,0.9680703041055879
28,4,0.5736842105263158,0.9680700471018722
18,4,0.5736842105263158,0.9680679671792334
27,1,0.5473684210526315,0.968067809577817
29,1,0.5736842105263158,0.9680677172974941
28,4,0.6,0.968067588530486
29,1,0.6,0.9680668398372054
33,1,0.6,0.9680667929027619
29,4,0.6,0.968066540024154
29,1,0.49473684210526314,0.9680659020170439
27,4,0.6,0.968064744449319
29,4,0.5736842105263158,0.9680641017656461
19,4,0.5210526315789473,0.9680637186311067
27,4,0.5736842105263158,0.9680633355483793
18,4,0.5473684210526315,0.968061894393966
33,1,0.5736842105263158,0.9680614123978231
28,1,0.2578947368421053,0.9680601728777144
29,1,0.5473684210526315,0.9680600297449635
33,1,0.49473684210526314,0.9680591725007283
22,1,0.6,0.9680587034635949
22,1,0.5736842105263158,0.9680585811459852
18,4,0.5210526315789473,0.968058555806188
22,1,0.5473684210526315,0.9680558679147113
29,1,0.46842105263157896,0.9680554416258408
29,1,0.5210526315789473,0.9680553683508321
16,3,0.6,0.968054993270964
22,1,0.5210526315789473,0.9680546606512255
18,4,0.49473684210526314,0.9680541084356421
27,1,0.3368421052631579,0.9680538164195889
28,4,0.5473684210526315,0.9680531902293861
22,1,0.44210526315789467,0.9680525938695425
22,1,0.49473684210526314,0.9680524264133471
29,1,0.44210526315789467,0.968051834890902
33,1,0.5473684210526315,0.968051706723158
22,1,0.4157894736842105,0.9680505824418822
33,1,0.5210526315789473,0.9680504406782332
18,4,0.46842105263157896,0.9680498455579405
27,4,0.5473684210526315,0.9680495813964738
33,4,0.6,0.9680486543875347
22,1,0.46842105263157896,0.9680484487220938
18,3,0.6,0.9680483694067642
29,1,0.3894736842105263,0.9680480326978225
19,4,0.49473684210526314,0.9680466577611628
29,1,0.3631578947368421,0.968045515426244
29,1,0.4157894736842105,0.9680451837476781
30,4,0.6,0.9680448228819548
19,3,0.6,0.968044384785729
23,1,0.5736842105263158,0.9680438166226434
19,5,0.6,0.9680432388776796
16,3,0.5736842105263158,0.9680426868024782
22,1,0.3894736842105263,0.9680420900911927
19,5,0.5736842105263158,0.9680415997352891
27,5,0.5473684210526315,0.9680411496483717
15,1,0.6,0.9680405572185254
15,1,0.5736842105263158,0.9680405461988164
15,1,0.5473684210526315,0.9680405386488777
15,1,0.28421052631578947,0.9680405250504126
15,1,0.5210526315789473,0.9680405250504126
15,1,0.2578947368421053,0.9680405250504126
15,1,0.15263157894736842,0.9680405250504126
15,1,0.12631578947368421,0.9680405250504126
15,1,0.1,0.9680405250504126
15,1,0.23157894736842105,0.9680405250504126
15,1,0.31052631578947365,0.9680405250504126
15,1,0.17894736842105263,0.9680405250504126
15,1,0.20526315789473684,0.9680405250504126
15,1,0.3631578947368421,0.9680405250504126
15,1,0.4157894736842105,0.9680405250504126
15,1,0.46842105263157896,0.9680405250504126
15,1,0.44210526315789467,0.9680405250504126
15,1,0.3894736842105263,0.9680405250504126
15,1,0.3368421052631579,0.9680405250504126
15,1,0.49473684210526314,0.9680405250504126
18,3,0.5473684210526315,0.9680403993710887
33,4,0.5736842105263158,0.9680403987283158
27,5,0.5736842105263158,0.9680402947333052
30,1,0.6,0.9680398216134838
29,4,0.5473684210526315,0.9680388590589037
18,3,0.5736842105263158,0.968038227617006
29,1,0.31052631578947365,0.9680371025247568
28,4,0.5210526315789473,0.9680363482635627
15,2,0.6,0.9680361514190697
23,1,0.6,0.968035677292469
30,4,0.5736842105263158,0.9680354310097842
19,5,0.5473684210526315,0.9680353377680997
19,4,0.46842105263157896,0.968035320714481
27,4,0.5210526315789473,0.9680347359376134
28,5,0.5736842105263158,0.9680340024904919
27,5,0.6,0.9680339550835687
22,1,0.3631578947368421,0.968033923516852
18,2,0.6,0.9680326945998875
22,1,0.3368421052631579,0.9680323730780824
23,1,0.5473684210526315,0.9680320603703502
29,1,0.3368421052631579,0.9680319781892099
27,6,0.5210526315789473,0.9680318626071579
18,5,0.5736842105263158,0.9680316851632319
29,1,0.28421052631578947,0.9680315793044556
31,1,0.6,0.9680312228012631
18,5,0.6,0.9680308949524713
23,1,0.5210526315789473,0.9680306429623281
23,4,0.5736842105263158,0.9680302976331987
15,3,0.6,0.9680299268233884
22,1,0.31052631578947365,0.9680291037073887
23,1,0.49473684210526314,0.9680283074177355
30,1,0.5736842105263158,0.9680272737567196
33,1,0.46842105263157896,0.9680272369955579
31,1,0.49473684210526314,0.968026934680567
28,6,0.6,0.9680268563001201
27,1,0.31052631578947365,0.9680262002490154
28,2,0.5736842105263158,0.9680258673055276
